item_sets,supp_count
1620213982,4623
B00005JS5C,1710
B000GLRREU,7152
B000WYJTZG,1550
B0012Y0ZG2,2160
B000FOI48G,7404
B001QY8QXM,4043
B006IB5T4W,2532
B00BMVV3MK,1533
B00VF344X0,1654
B00W259T7G,2591
B01DKQAXC0,3323
B000FI73MA,6443
B000GF7ZRA,15196
B000GF9IF2,3978
B002LVUX1W,8233
B00492CIC8,3774
B0051VVOB2,3645
B0057Z7EIY,2308
B005890CJM,2960
B007Q1W586,10744
B0083Q04IQ,8494
B00AWH595M,3970
"('B00BWYVWLO', 'B00CYQP3AK')",13134
"('B00REQL3AE', 'B00VINDBJK')",3166
B000KPIHQ4,3874
B000P0X15G,1621
B000PHANNM,2380
B00ZVJAF9G,3172
B011VXPII8,1526
B015S1SWLO,3028
B015TJD0Y4,8886
B0172DDZ5E,1790
B018SZT3BK,12772
B01C4UY0JK,2602
B01C6DXMX0,3204
B01DM6BDA4,10027
B000V0IBDM,3880
B000YFSR5G,1670
B00201ER88,1869
B00RLSCLJM,3491
B00XT15P8E,1732
B0000644AF,2621
B0006U2HD2,1695
B0009WE12C,1663
B000YFA7HW,2388
B00166DR9S,1858
B001CUQ1C8,2888
B001DYDAEK,1953
B005083ECS,1544
B006LXOJC0,6886
B006LXOJC0,4895
B007WIRD4Y,2587
B008BF2OAK,1513
B008XCZ25K,1629
B00FXNACDE,1713
B01CDFMRBY,1513
B01FKNEKUC,2298
"('B00DB9WCR6', 'B01FUAXEI4')",2175
B0006GVNOA,1624
B0014CN8Y8,3766
B001B35APA,1686
B0042ACZU2,1871
B0045LLC7K,2502
B004UB1O9Q,4812
B00DT5746Q,1516
B00E37TQV0,1970
B00INXG9MY,1537
B00KJ07SEM,2744
B01H1R0K68,1903
B000980L02,2239
B000F7DPEQ,2996
B000HF6YX0,1543
B000HTBBO8,1691
B000P0LNRE,2452
B000WOM50W,1591
B000Y00DDK,1685
B00122CN64,1748
B00172XBQA,1684
B001QX2G9S,1560
B001UCGZXI,1523
B0027A5J8O,1612
B00281K7UW,1725
B002HR4CW6,2311
B002M7TM0S,2095
B002TOL450,1547
B003AVMZA4,2160
B004AKS59O,3649
B004RDH7Y8,1819
B004ZDL0K2,2564
B004ZKPX8A,1669
B005HR1JMO,2209
B008025PZ0,2402
B00BSK745A,2131
B00DMC6KAC,1739
B00IMMOY28,1673
B00WW8KIRI,2459
B01GLS0C2K,1604
B01H5FYNX2,2526
B00029WYEY,2371
B0002JN2EU,1743
B0002UEOLO,1690
B00068XCQU,3931
B0006IX7Y2,1586
B0007ZJ1IK,2065
B00080QHMM,3000
B0009IK5VW,1905
B0009IQZFM,1869
B0009JKI7W,2743
B000BQSIWK,1653
B000BQW5LK,1655
"('B000CAVE2Q', 'B000CAYTJ6')",1697
B000CITK8S,8946
B000CKGAV6,1861
B000FCRS0I,2465
B000GL19WG,1693
B000IE0YIQ,1612
B000JFJLP6,4678
B000KPU8F2,4678
B000KYUQ2S,1586
B000M5W25E,3154
B000NCOKZQ,2208
B000W20LKK,2459
B0010E00T6,2074
B0012WHBSO,1935
B000W20LKK,3528
B0015Y5848,1541
B001D25TZU,1586
B001LHVOVK,4720
B001V8U12M,2098
B002OUMVSS,2495
B002UJVNFA,1835
B002XLHUQG,1548
B003554TB8,1941
B0036E9VB6,1591
B0037V0EW8,4068
B003L36BPG,2174
B003S1RQ2S,2111
B0045E7PC8,2263
B00480GYSA,3565
B00480J4KA,2501
B004RNR9QY,1561
B0051D3MP6,2467
B0057ODG6Y,1935
B005JU5VH8,1777
B005KDOA3K,1550
B00652G4TS,2464
B007TG7HFO,1777
B008427D88,1569
B00877SL2M,1661
B008YFSU0U,1812
B00AQ664H6,1784
B00AXX0IEC,3687
B00BYH6C1E,3701
B00COYNZJ8,1681
B00D9C2CDO,2585
B00DJ5KE9A,1614
B00K3GBRQ2,1613
B00KTIZ2C4,2108
B00LTX7UPA,2205
B00NF2RUTO,1581
B00PT18QAQ,1957
B00Q0XSA4O,1990
B00RW7W9I0,3197
B00X04JRMU,1602
B00YI3IGA6,2579
B00ZOKJVAG,3526
B01078GH6A,1792
B014TZAUU6,4102
B015N3NR5I,1866
B015TKSSB8,2044
B0186P1MUW,1920
B01A1IJ5KG,1726
"('B01DDWMJKK', 'B01E5T38F0')",2007
B01F9IS2Y8,1625
B01G5EA74I,2343
B000S9RF4M,2129
B00192GZ7U,1551
B002WN2AKG,2079
B0031VLRYI,2409
B00KBGTRAC,2573
"('0001048767', '0001050230')",2605
0003302245,2794
0006280544,2997
0006476155,1813
0006545793,2121
0006895492,2192
000711835X,12988
0007117213,1764
000711835X,4258
0007119550,2152
0007141424,7658
0007155662,9882
0007173156,5213
0007181701,2582
000720924X,2819
0007230206,1550
0007247095,1615
0007250916,1602
000726755X,2021
0007271239,7573
0007281447,1713
0007284241,1812
0007305567,1828
0007310250,1667
0007327064,1673
0007350783,2580
0007350783,2286
000735083X,2464
0007350899,10032
0007350961,2839
0007368658,5105
0007378033,12573
0007384289,6371
0007386621,1584
0007420412,17645
0007450664,2166
"('0007420412', '0007444117')",1651
0007513763,3458
0007520158,2499
000752031X,1598
0007526024,3300
0007548672,25085
000755236X,5064
0007554850,2307
0007925565,1989
0008100993,1610
0007433298,2519
0008102147,3765
0008117497,1845
0008118922,5198
0008128057,2073
0008132526,2414
0008195935,1693
0008220565,6375
0008272085,2863
0020868707,2071
0024181900,2555
0025853503,1804
0026045702,1998
0027164403,2439
0027651304,1616
0027676463,3473
0027701301,2151
0028180054,2537
0028180062,2292
0028603958,1683
0030515041,1512
0030547741,2039
0030554179,3404
0030554543,2404
0030565073,5459
0030624266,3306
0030845742,2537
0060001941,2017
0060006986,1591
0060094273,2782
0060099402,2571
0060115912,1589
0060125314,2747
006017322X,7644
0060175400,2074
0060188707,1679
0060194480,2189
006019832X,3966
0060254939,1879
0060256672,1588
0060391448,1561
0060394064,1754
0060510862,1688
0060518049,1645
0060530944,1805
0060539836,2667
0060530308,1590
0060557818,1780
0060558121,4146
006056492X,2557
0060574909,1516
006058405X,1803
0060586133,2156
0060740221,5680
0060786469,4153
0060794410,2143
0060817089,1788
0060853980,1539
006085880X,2312
0060890681,2337
0060899220,2118
0061009059,1778
0061042536,2498
0061147931,1525
006124189X,1749
0061238783,1774
0061257095,3582
0061351415,4547
0061441848,1934
0061449113,1522
0061658197,1992
0061728985,3760
0061928178,2014
006195070X,7694
0061969559,2016
0061992259,2294
0061992704,3237
0061997102,1770
0061997161,2319
006195070X,11193
0062060554,2695
0062065246,2527
0062066404,2008
0062073184,2426
0062082361,10697
0062085506,1781
0062110845,2489
0062124277,1845
0062082361,3154
0062200585,2405
0062205579,1975
0062218832,2401
0062225065,1527
0062248472,1947
0062257838,1531
006226303X,4102
0062265423,2475
0062267523,1566
006226835X,2356
0062270486,2435
0062270524,1668
0062294407,2366
0062294776,1769
0062301233,2345
006230240X,1866
0062305190,1605
0062310631,1836
0062311158,1594
0062316869,2468
0062320084,2948
0062320165,2908
0062325388,1895
0062347268,1756
0062363603,1612
0062369296,1857
0062372106,2251
0062378082,4546
0062409212,1704
0062409883,5883
0062417355,1621
0062429078,2576
0062433229,2870
0062454943,1684
0062457713,2177
0062494600,1540
0062498533,1731
0062554468,1952
0062654195,1640
0062678418,1936
0078203759,1621
0091816971,2527
0091821347,1635
0091900212,3801
0091906814,6346
0091923530,2933
0091937523,1739
0091939526,2688
0091944244,7407
0091948177,3854
0091955106,10840
0099134012,2122
0099245027,1638
0099302780,1659
009917961X,2151
0099443635,3562
0099456761,3109
0099481685,1826
0099487829,1582
0099503204,1521
0099521296,1525
0099464462,2059
0099549344,1931
0099557266,2357
0099574241,2532
0099576457,2328
0099579936,3748
0099580470,2620
0099593149,1771
0099664313,3548
"('0099664313', '0099911701')",1629
0099911701,13847
013135566X,1610
0132268310,3062
0134374940,1570
0134374940,2745
0136879721,2006
0139357432,2910
0140008330,1644
0140012486,2289
0140058893,1623
0140143491,4244
0140177388,2394
0140277633,2710
0140280197,2075
0140283331,1969
0140324623,3232
0140373535,2557
0140385622,2138
014038572X,2081
0140390197,1671
0140390316,2600
0140430040,1716
0140431179,1566
0140434186,5696
0140434917,3968
0140434968,3820
0140440410,2096
0140441409,1533
0140437681,2315
0140447938,1830
0140461191,1817
0140569324,2974
0140861750,3783
0141022043,1897
0141027592,1806
0141033576,2405
0141034262,2488
0099553473,2199
0141027126,9329
0141036249,4265
0141039280,9279
0141043768,6284
0141182571,1583
0141185627,1913
0141188936,1731
0141192496,3915
0141325496,2519
0141188936,2765
0141192496,6117
0141328290,3699
0141331208,1551
0141331976,8651
0141333057,1748
0141335734,6223
0141338261,5300
014133925X,3716
0141340231,1818
0141345810,2432
0141346841,1998
0141348623,1543
0141353678,9472
0141354224,5801
0141361794,3769
0141326085,3413
0141339578,2147
0141340150,1750
0141342420,1700
0141353678,13456
0141365099,1665
0141378247,12199
0141976144,3122
0141978953,2444
0142000280,1962
0142001740,2701
0141353678,12220
014219672X,2651
014242613X,2066
014241493X,1926
0142428280,6098
0142429279,1783
0142800376,5828
0142800422,3671
0142800805,2107
0143038419,2491
0143105531,2643
0143106708,6508
0143108204,1545
0143108867,3896
0143109464,6445
0143111582,1606
0143109464,3548
0143121707,5224
0143122916,1717
0143123629,1568
014312577X,1643
0143127527,2201
0143127551,2430
0143121707,6028
0143125478,12339
0143125842,2714
0143127500,1720
0143127527,2114
0143129430,2710
0143130609,3362
0143142372,6837
0143142445,1870
0143144626,2719
0143125478,7319
0143142364,2972
0143142372,5041
0143170090,4509
0143170104,4360
0147524199,5990
0147524210,2430
0147520762,6905
0147525071,3185
0151008116,5522
0151010196,2362
0151015392,6411
0224095374,3392
0230748228,3248
0230749259,3673
0230749283,4343
0230750214,5307
0230755062,4147
0230769152,3166
0241003636,2921
0241257409,2708
0241351642,1971
0263234541,3042
0283070870,2049
0297643797,2120
0297851527,1994
0297859382,2043
0297867288,1609
0297870920,1971
0297833936,3620
0297851527,3230
0297859382,19734
0297867288,2820
0297870920,1540
0307010856,2197
0297859382,8648
0307245934,2314
0307265439,3316
0307266303,3486
0307272591,2148
0307273571,2922
0307275639,3277
0307272702,1935
0307277674,3417
0307280721,3051
0307282961,4801
0307283666,5221
0307284174,1579
0307291227,1790
0307291340,1579
0307341577,7335
0307346609,4409
0307282961,1694
0307352145,4763
0307387178,2090
0307408841,2396
0307408868,5583
0307456633,1773
0307475255,2329
0307476073,6887
0307582884,9395
0307590631,1749
0307476073,4177
0307594882,2094
0307706591,3365
030770663X,2801
0307712842,1546
0307719774,1608
0307730697,2122
0307731715,2128
0307743683,2831
0307747441,1878
0307749495,1747
0307735036,1777
0307743659,3306
030774941X,1972
0307749606,2892
0307749649,5324
0307750922,1765
0307877183,2491
0307885151,2446
0307886263,3076
030788743X,4285
0307887898,1914
0307888304,1502
030788743X,11104
0307932540,4007
0307934055,1714
0307939650,1805
0307939693,2380
0307941515,3263
0307943232,8836
0307946916,1620
030794963X,2223
0307943232,1851
0307947904,1740
0307957837,1855
0307962520,1859
0307966666,4024
0307987647,3787
0307989909,3238
0307990796,1868
0310081122,1955
0310081122,1750
0310205719,2675
0310209749,3241
0310321913,1599
0310325501,2478
0310330718,3309
0310331935,1655
0310419034,2540
0310421772,1600
0310428041,1945
0310515025,2237
031060530X,3322
0310708257,3299
0312069782,1979
031218008X,2223
0312304358,1608
0312330529,2738
0312346069,1840
0312352557,2640
0312354355,1811
0312356854,2348
0312362919,1540
0312364083,2393
0312364121,1981
0312422156,1505
0312495412,2548
0312537409,2850
031257357X,1678
0312577222,15225
0312577230,2066
0312641893,2210
0312577222,17180
0312655479,2282
0312850093,1983
0312853238,8052
0312857055,1907
0312577222,2658
0312938640,1849
031294232X,1731
