item_sets,supp_count
 The (1994),366
 The (1999),346
 The (1994),306
 The (1999),365
"(' The (1991)', ' The (1994)')",105
"(' The (1991)', 'Silence of the Lambs')",114
"(' The (1994)', ' The (1995)')",106
"(' The (1994)', ' The (1999)')",119
"(' The (1994)', 'Forrest Gump (1994)')",110
"(' The (1994)', 'Pulp Fiction (1994)')",102
"(' The (1994)', 'Shawshank Redemption')",143
"(' The (1999)', 'Matrix')",119
"(' The (1991)', 'Silence of the Lambs')",111
"(' The (1994)', ' The (1999)')",111
"(' The (1994)', 'Forrest Gump (1994)')",101
"(' The (1994)', 'Shawshank Redemption')",131
"(' The (1999)', 'Matrix')",103
