item_sets,supp_count
"('other vegetables', 'sausage', 'whole milk')",28
"('beef', 'other vegetables')",30
"('beef', 'whole milk')",30
"('bottled beer', 'whole milk')",31
"('bottled water', 'other vegetables')",40
"('bottled water', 'whole milk')",41
"('brown bread', 'other vegetables')",25
"('brown bread', 'whole milk')",36
"('butter', 'other vegetables')",28
"('butter', 'whole milk')",31
"('canned beer', 'other vegetables')",27
"('canned beer', 'whole milk')",31
"('citrus fruit', 'other vegetables')",42
"('citrus fruit', 'rolls/buns')",29
"('citrus fruit', 'root vegetables')",31
"('citrus fruit', 'tropical fruit')",29
"('citrus fruit', 'whole milk')",52
"('frozen vegetables', 'whole milk')",25
"('hamburger meat', 'whole milk')",33
"('other vegetables', 'pastry')",29
"('other vegetables', 'pip fruit')",35
"('other vegetables', 'rolls/buns')",76
"('other vegetables', 'root vegetables')",70
"('other vegetables', 'soda')",58
"('other vegetables', 'tropical fruit')",73
"('other vegetables', 'whipped/sour cream')",30
"('other vegetables', 'whole milk')",121
"('other vegetables', 'yogurt')",58
"('pastry', 'tropical fruit')",25
"('pastry', 'whole milk')",30
"('pip fruit', 'rolls/buns')",34
"('pip fruit', 'root vegetables')",34
"('pip fruit', 'soda')",26
"('pip fruit', 'tropical fruit')",28
"('pip fruit', 'whole milk')",54
"('rolls/buns', 'root vegetables')",59
"('rolls/buns', 'soda')",42
"('rolls/buns', 'tropical fruit')",33
"('rolls/buns', 'whole milk')",96
"('rolls/buns', 'yogurt')",39
"('root vegetables', 'soda')",41
"('root vegetables', 'tropical fruit')",40
"('root vegetables', 'whole milk')",90
"('root vegetables', 'yogurt')",36
"('soda', 'tropical fruit')",37
"('soda', 'whole milk')",73
"('tropical fruit', 'whole milk')",72
"('whole milk', 'yogurt')",75
"('bottled beer', 'whole milk')",27
"('bottled water', 'other vegetables')",42
"('bottled water', 'rolls/buns')",33
"('bottled water', 'soda')",25
"('bottled water', 'whole milk')",33
"('bottled water', 'yogurt')",29
"('brown bread', 'other vegetables')",34
"('brown bread', 'soda')",25
"('brown bread', 'whole milk')",37
"('butter', 'other vegetables')",32
"('butter', 'rolls/buns')",27
"('butter', 'whole milk')",27
"('canned beer', 'whole milk')",30
"('cream cheese ', 'whole milk')",26
"('curd', 'other vegetables')",31
"('curd', 'whole milk')",27
"('domestic eggs', 'other vegetables')",29
"('domestic eggs', 'whole milk')",28
"('margarine', 'whole milk')",25
"('newspapers', 'whole milk')",31
"('other vegetables', 'pastry')",38
"('other vegetables', 'pip fruit')",27
"('other vegetables', 'rolls/buns')",64
"('other vegetables', 'root vegetables')",32
"('other vegetables', 'shopping bags')",33
"('other vegetables', 'soda')",56
"('other vegetables', 'whipped/sour cream')",28
"('other vegetables', 'whole milk')",82
"('other vegetables', 'yogurt')",63
"('pastry', 'rolls/buns')",30
"('pastry', 'soda')",26
"('pastry', 'whole milk')",41
"('pastry', 'yogurt')",33
"('rolls/buns', 'root vegetables')",34
"('rolls/buns', 'soda')",44
"('rolls/buns', 'whole milk')",78
"('rolls/buns', 'yogurt')",57
"('root vegetables', 'soda')",25
"('root vegetables', 'whole milk')",40
"('root vegetables', 'yogurt')",39
"('shopping bags', 'whole milk')",45
"('soda', 'whole milk')",62
"('soda', 'yogurt')",48
"('whipped/sour cream', 'whole milk')",37
"('whipped/sour cream', 'yogurt')",26
"('whole milk', 'yogurt')",73
